ReturnID,OrderID,ReturnDate,Reason
480,65202,01-11-2024,Damaged
481,136704,28-04-2025,Wrong Item
482,35100,10-11-2024,Damaged
483,188814,16-04-2025,Damaged
484,5880,28-03-2025,Wrong Item
485,73439,18-05-2025,No Reason
486,149268,11-01-2025,Late Delivery
487,56257,30-06-2025,Wrong Item
488,110057,12-08-2025,Late Delivery
489,141346,26-05-2025,
490,99160,22-11-2024,Damaged
491,134062,13-07-2025,Late Delivery
492,158837,26-09-2024,No Reason
493,15442,30-10-2024,No Reason
494,118785,18-04-2025,Late Delivery
495,196970,04-11-2024,Wrong Item
496,180843,21-02-2025,Late Delivery
497,158688,14-11-2024,Late Delivery
498,69319,12-04-2025,Wrong Item
499,147670,21-05-2025,Damaged
500,131970,12-12-2024,Late Delivery
501,179337,18-04-2025,Late Delivery
502,37357,26-02-2025,No Reason
503,40468,30-06-2025,Wrong Item
504,53590,15-07-2025,Wrong Item
505,15831,21-11-2024,
506,52378,28-08-2024,Damaged
507,50689,29-12-2024,Late Delivery
508,126661,18-11-2024,No Reason
509,71761,03-02-2025,Late Delivery
510,141343,,Damaged
511,111498,29-05-2025,Late Delivery
512,19108,23-08-2025,Wrong Item
513,114421,04-05-2025,Wrong Item
514,142747,,
515,175607,01-08-2025,No Reason
516,51301,09-07-2025,Damaged
517,102641,23-03-2025,Damaged
518,39276,02-11-2024,No Reason
519,129650,09-12-2024,Wrong Item
520,46584,13-03-2025,Damaged
521,76869,10-03-2025,Late Delivery
522,68382,15-04-2025,Late Delivery
523,8136,09-10-2024,Wrong Item
524,99996,27-12-2024,Wrong Item
525,92690,08-07-2025,
526,127041,19-07-2025,No Reason
527,73493,31-08-2024,No Reason
528,113427,12-05-2025,Late Delivery
529,192089,28-05-2025,No Reason
530,56865,10-02-2025,Wrong Item
531,52844,30-09-2024,Late Delivery
532,125284,06-07-2025,No Reason
533,141656,20-01-2025,Damaged
534,2347,15-10-2024,Wrong Item
535,22729,31-07-2025,Late Delivery
536,193524,22-09-2024,Damaged
537,150495,,Damaged
538,74205,03-01-2025,No Reason
539,87087,11-02-2025,No Reason
540,188956,02-01-2025,Late Delivery
541,148084,02-01-2025,Damaged
542,15761,03-05-2025,No Reason
543,78804,03-03-2025,No Reason
544,180366,05-08-2025,
545,79770,30-12-2024,No Reason
546,114876,21-02-2025,Damaged
547,68667,04-05-2025,Late Delivery
548,49770,13-08-2025,
549,99583,11-02-2025,No Reason
550,64984,07-07-2025,Late Delivery
551,168079,25-09-2024,Damaged
552,102200,,No Reason
553,13638,26-01-2025,Damaged
554,82182,26-02-2025,
555,130114,07-09-2024,Damaged
556,136592,23-08-2025,Wrong Item
557,87348,14-08-2025,
558,79267,25-08-2025,Late Delivery
559,168328,05-11-2024,Wrong Item
560,58682,10-01-2025,Damaged
561,75684,15-01-2025,Late Delivery
562,9384,21-08-2025,No Reason
563,7371,26-02-2025,Late Delivery
564,138293,17-08-2025,Wrong Item
565,195002,31-01-2025,Damaged
566,165944,21-05-2025,Damaged
567,61334,28-03-2025,
568,162410,17-06-2025,Damaged
569,91080,13-04-2025,Wrong Item
570,114958,10-04-2025,Damaged
571,23492,19-03-2025,Wrong Item
572,137388,27-11-2024,
573,48425,28-06-2025,No Reason
574,157071,05-09-2024,Late Delivery
575,96147,29-10-2024,
576,3373,15-04-2025,Damaged
577,133135,15-03-2025,
578,159596,09-12-2024,No Reason
579,132085,09-12-2024,No Reason
580,121829,13-06-2025,Late Delivery
581,124971,06-11-2024,
582,53685,05-02-2025,Late Delivery
583,61687,13-01-2025,Damaged
584,101464,01-05-2025,No Reason
585,49660,17-01-2025,No Reason
586,154313,31-01-2025,No Reason
587,199666,10-06-2025,Late Delivery
588,186901,18-09-2024,Wrong Item
589,76359,18-11-2024,Damaged
590,163342,08-04-2025,Wrong Item
591,142550,31-10-2024,
592,34377,02-07-2025,Damaged
593,79757,10-09-2024,Late Delivery
594,138519,06-12-2024,No Reason
595,171111,,No Reason
596,188462,,Damaged
597,140656,19-01-2025,
598,134704,31-12-2024,Wrong Item
599,23156,03-10-2024,Wrong Item
600,98799,07-05-2025,Late Delivery
601,136561,12-06-2025,No Reason
602,12821,13-02-2025,No Reason
603,164353,,Late Delivery
604,99802,08-01-2025,No Reason
605,44011,04-07-2025,Wrong Item
606,90748,04-02-2025,Damaged
607,6928,04-09-2024,Late Delivery
608,73126,20-12-2024,No Reason
609,127344,07-04-2025,Late Delivery
610,83967,17-02-2025,No Reason
611,172147,24-11-2024,Late Delivery
612,127062,19-09-2024,Damaged
613,29297,28-08-2025,Damaged
614,30513,18-06-2025,Late Delivery
615,21741,01-01-2025,Wrong Item
616,110342,04-10-2024,No Reason
617,99139,19-12-2024,Wrong Item
618,88654,25-12-2024,Late Delivery
619,124314,,No Reason
620,2318,16-09-2024,Damaged
621,108114,10-03-2025,No Reason
622,101160,23-01-2025,Damaged
623,165983,29-08-2024,Damaged
624,165018,08-01-2025,Damaged
625,149957,31-01-2025,Damaged
626,5881,05-03-2025,Damaged
627,54353,20-11-2024,Damaged
628,51749,20-09-2024,No Reason
629,199205,10-11-2024,Late Delivery
630,88863,27-05-2025,Damaged
631,125617,30-12-2024,Wrong Item
632,176408,11-10-2024,Wrong Item
633,178615,05-12-2024,Late Delivery
634,168031,15-01-2025,Wrong Item
635,98492,14-11-2024,No Reason
636,11620,19-05-2025,Wrong Item
637,43634,09-04-2025,No Reason
638,111027,10-03-2025,Damaged
639,174646,13-09-2024,
640,75797,15-03-2025,Late Delivery
641,90179,09-02-2025,Late Delivery
642,36696,18-11-2024,Late Delivery
643,54851,03-11-2024,
644,69877,15-08-2025,Damaged
645,40280,11-07-2025,No Reason
646,54204,30-07-2025,No Reason
647,89585,29-03-2025,Damaged
648,156016,27-05-2025,
649,43308,03-04-2025,Late Delivery
650,114409,12-03-2025,Damaged
651,135641,24-12-2024,Wrong Item
652,11665,08-05-2025,Late Delivery
653,64456,23-02-2025,Damaged
654,179718,06-06-2025,No Reason
655,77044,25-11-2024,
656,2784,05-03-2025,No Reason
657,58286,22-05-2025,Late Delivery
658,180697,02-05-2025,Wrong Item
659,91199,10-05-2025,Late Delivery
660,19796,06-05-2025,Wrong Item
661,163089,04-06-2025,Late Delivery
662,139965,15-06-2025,Wrong Item
663,198643,20-08-2025,Late Delivery
664,154887,15-09-2024,Damaged
665,83104,22-10-2024,Wrong Item
666,180962,19-06-2025,Damaged
667,119754,20-07-2025,Wrong Item
668,89254,01-07-2025,Wrong Item
669,93087,09-08-2025,No Reason
670,4040,27-11-2024,No Reason
671,137569,17-04-2025,No Reason
672,89681,04-08-2025,
673,87291,17-01-2025,Damaged
674,112173,05-06-2025,Damaged
675,82292,02-02-2025,Late Delivery
676,9438,05-04-2025,
677,105039,09-08-2025,Wrong Item
678,158326,16-06-2025,Damaged
679,128127,25-03-2025,Late Delivery
680,82244,04-12-2024,No Reason
681,14988,14-01-2025,Damaged
682,106390,03-02-2025,Wrong Item
683,91962,02-08-2025,No Reason
684,36118,24-12-2024,Late Delivery
685,65133,06-12-2024,No Reason
686,153045,06-07-2025,Damaged
687,120462,28-08-2024,Late Delivery
688,123911,,No Reason
689,106584,01-04-2025,
690,23972,23-08-2025,Late Delivery
691,64418,14-01-2025,Late Delivery
692,110853,,Late Delivery
693,113736,,Wrong Item
694,153825,24-07-2025,Wrong Item
695,35448,05-09-2024,No Reason
696,143542,01-02-2025,Wrong Item
697,120769,15-05-2025,Wrong Item
698,121646,25-09-2024,Late Delivery
699,24036,08-08-2025,No Reason
700,191884,10-03-2025,Late Delivery
701,187970,19-06-2025,Damaged
702,139495,01-11-2024,Wrong Item
703,189547,08-04-2025,Wrong Item
704,109337,30-07-2025,No Reason
705,34222,24-02-2025,Late Delivery
706,45960,,No Reason
707,143290,26-03-2025,Late Delivery
708,149168,30-07-2025,Wrong Item
709,39777,10-11-2024,No Reason
710,148350,02-09-2024,Damaged
711,143443,27-11-2024,Late Delivery
712,44532,06-01-2025,Wrong Item
713,123769,22-12-2024,Wrong Item
714,90947,13-11-2024,No Reason
715,148067,28-04-2025,Late Delivery
716,67113,,Damaged
717,181200,25-02-2025,Late Delivery
718,127596,28-08-2025,Late Delivery
719,39836,19-09-2024,Late Delivery
720,105438,28-12-2024,Damaged
721,154578,21-04-2025,Wrong Item
722,140021,02-06-2025,Wrong Item
723,73232,27-10-2024,Damaged
724,73806,21-08-2025,
725,111596,22-06-2025,No Reason
726,11457,10-08-2025,Damaged
727,174731,02-05-2025,Damaged
728,128540,27-01-2025,Late Delivery
729,136298,27-01-2025,Wrong Item
730,50823,05-10-2024,
731,184568,08-12-2024,Damaged
732,59113,04-09-2024,Late Delivery
733,177119,02-05-2025,Late Delivery
734,116765,10-04-2025,Wrong Item
735,128826,09-02-2025,Damaged
736,163268,18-01-2025,
737,184334,19-09-2024,
738,45799,18-06-2025,No Reason
739,74348,26-06-2025,No Reason
740,118319,03-04-2025,
741,43660,12-06-2025,
742,103109,05-08-2025,Damaged
743,147010,,Damaged
744,184885,22-05-2025,Late Delivery
745,35564,17-08-2025,No Reason
746,16107,04-01-2025,No Reason
747,15212,25-10-2024,Late Delivery
748,143262,23-01-2025,Wrong Item
749,78406,09-09-2024,No Reason
750,112684,31-08-2024,
751,36106,25-04-2025,No Reason
752,77313,15-05-2025,Wrong Item
753,47439,30-03-2025,Wrong Item
754,59468,31-07-2025,No Reason
755,2849,17-08-2025,Late Delivery
756,61135,23-04-2025,Damaged
757,5862,06-01-2025,
758,34241,29-07-2025,Damaged
759,192694,,No Reason
760,157721,20-08-2025,Wrong Item
761,129587,21-09-2024,Late Delivery
762,192592,24-03-2025,Late Delivery
763,102777,23-01-2025,Late Delivery
764,59445,20-01-2025,Late Delivery
765,99778,22-11-2024,Damaged
766,108938,20-12-2024,Damaged
767,74666,24-05-2025,Damaged
768,8569,20-11-2024,
769,113966,02-06-2025,No Reason
770,191545,20-06-2025,
771,178933,02-10-2024,No Reason
772,197485,24-11-2024,Wrong Item
773,114601,12-08-2025,Damaged
774,132263,26-01-2025,Damaged
775,68915,04-02-2025,Wrong Item
776,104205,,
777,13724,17-09-2024,No Reason
778,31208,07-01-2025,No Reason
779,59502,18-10-2024,No Reason
780,96812,01-02-2025,No Reason
781,151803,12-11-2024,No Reason
782,109110,10-05-2025,No Reason
783,5549,18-01-2025,Late Delivery
784,30495,02-04-2025,No Reason
785,75916,26-04-2025,Late Delivery
786,55051,23-08-2025,
787,146437,19-07-2025,Damaged
788,122349,12-03-2025,No Reason
789,190522,,
790,124138,13-08-2025,Damaged
791,137088,18-11-2024,Damaged
792,16036,22-05-2025,No Reason
793,104987,23-01-2025,No Reason
794,107220,08-05-2025,
795,50928,02-03-2025,Late Delivery
796,198094,07-12-2024,Wrong Item
797,122557,20-01-2025,Late Delivery
798,70705,20-06-2025,No Reason
799,190879,02-03-2025,
800,36127,13-05-2025,No Reason
801,114904,09-11-2024,Wrong Item
802,57482,29-05-2025,Wrong Item
803,149261,16-10-2024,No Reason
804,106387,,Wrong Item
805,196907,04-06-2025,Wrong Item
806,188809,25-11-2024,Damaged
807,18082,21-08-2025,Late Delivery
808,103057,14-04-2025,No Reason
809,108755,15-04-2025,Late Delivery
810,32689,,Wrong Item
811,63166,05-04-2025,No Reason
